Geo_id,Geo_id2,Geo_display_label,T_Pop,T_U5,P_U5,T_5_9,P_5_9,T_10_14,P_10_14,T_15_19,P_15_19,T_20_24,P_20_24,T_25_29,P_25_29,T_30_34,P_30_34,T_35_39,P_35_39,T_40_44,P_40_44,T_45_49,P_45_49,T_50_54,P_50_54,T_55_59,P_55_59,T_60_64,P_60_64,T_65_69,P_65_69,T_70_74,P_70_74,T_75_79,P_75_79,T_80_84,P_80_84,T_85,P_85
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",5170,264,5.1,325,6.3,141,2.7,90,1.7,252,4.9,500,9.7,659,12.7,442,8.5,289,5.6,251,4.9,382,7.4,278,5.4,373,7.2,336,6.5,234,4.5,75,1.5,102,2.0,177,3.4
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",3682,0,0.0,0,0.0,0,0.0,2054,55.8,1620,44.0,8,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",4473,122,2.7,101,2.3,112,2.5,282,6.3,1371,30.7,512,11.4,102,2.3,184,4.1,244,5.5,188,4.2,131,2.9,166,3.7,239,5.3,269,6.0,274,6.1,115,2.6,37,0.8,24,0.5
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",6374,438,6.9,244,3.8,135,2.1,84,1.3,1230,19.3,1031,16.2,718,11.3,502,7.9,366,5.7,367,5.8,221,3.5,205,3.2,300,4.7,224,3.5,127,2.0,117,1.8,0,0.0,65,1.0
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",1489,93,6.2,85,5.7,72,4.8,56,3.8,37,2.5,151,10.1,129,8.7,58,3.9,64,4.3,52,3.5,137,9.2,147,9.9,102,6.9,52,3.5,143,9.6,75,5.0,16,1.1,20,1.3
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",3632,139,3.8,181,5.0,77,2.1,89,2.5,166,4.6,619,17.0,616,17.0,507,14.0,129,3.6,210,5.8,156,4.3,63,1.7,178,4.9,203,5.6,38,1.0,137,3.8,45,1.2,79,2.2
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",3296,117,3.5,105,3.2,113,3.4,136,4.1,160,4.9,469,14.2,368,11.2,341,10.3,138,4.2,181,5.5,222,6.7,218,6.6,175,5.3,154,4.7,143,4.3,104,3.2,97,2.9,55,1.7
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",4998,274,5.5,262,5.2,273,5.5,0,0.0,336,6.7,235,4.7,488,9.8,270,5.4,328,6.6,445,8.9,329,6.6,341,6.8,378,7.6,325,6.5,229,4.6,196,3.9,79,1.6,210,4.2
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",5643,240,4.3,72,1.3,95,1.7,24,0.4,485,8.6,521,9.2,434,7.7,401,7.1,293,5.2,345,6.1,245,4.3,414,7.3,415,7.4,516,9.1,452,8.0,500,8.9,88,1.6,103,1.8
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",3318,144,4.3,64,1.9,12,0.4,113,3.4,177,5.3,864,26.0,368,11.1,337,10.2,299,9.0,154,4.6,223,6.7,70,2.1,109,3.3,150,4.5,0,0.0,180,5.4,0,0.0,54,1.6
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",6267,261,4.2,288,4.6,224,3.6,681,10.9,550,8.8,217,3.5,281,4.5,340,5.4,352,5.6,448,7.1,534,8.5,414,6.6,361,5.8,332,5.3,477,7.6,158,2.5,198,3.2,151,2.4
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",3476,196,5.6,188,5.4,158,4.5,169,4.9,227,6.5,634,18.2,334,9.6,201,5.8,145,4.2,203,5.8,276,7.9,191,5.5,118,3.4,114,3.3,62,1.8,156,4.5,35,1.0,69,2.0
