Geo_id,Geo_id2,Geo_display_label,HH_T_SNAP,HH_P_SNAP,HH_T_nSNAP,HH_P_nSNAP
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",0,0,2471,100
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",0,NA,0,NA
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",19,1.2,1534,98.8
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",0,0,2485,100
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",0,0,605,100
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",28,1.4,1938,98.6
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",16,1,1601,99
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",12,0.6,2127,99.4
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",18,0.5,3404,99.5
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",34,1.5,2175,98.5
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",0,0,2737,100
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",0,0,1330,100
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",37,2.3,1540,97.7
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",0,0,898,100
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",0,0,2836,100
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",0,0,1882,100
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",0,0,2095,100
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",92,3.7,2413,96.3
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",0,0,1924,100
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",72,1.6,4530,98.4
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",25,1.7,1429,98.3
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",96,6.2,1463,93.8
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",0,0,2124,100
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",38,2.5,1486,97.5
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",42,2.9,1418,97.1
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",171,10.9,1395,89.1
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",478,22.5,1645,77.5
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",156,11.1,1254,88.9
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",49,6,761,94
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",162,15.8,863,84.2
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",116,8.8,1196,91.2
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",227,11.6,1728,88.4
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",290,14,1787,86
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",236,22.6,809,77.4
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",172,14.2,1038,85.8
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",59,5.1,1087,94.9
1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",5,0.7,764,99.3
1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",154,11.1,1238,88.9
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",249,23,834,77
