Geo_id,Geo_id2,Geo_display_label,I_T_5,I_T_59,I_T_1014,I_T_1519,I_T_2024,I_T_2529,I_T_3034,I_T_3539,I_T_4044,I_T_4559,I_T_6089,I_T_90
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",0,127,321,604,434,260,509,91,88,118,100,33
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",131,552,265,116,25,35,27,0,42,26,0,12
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",85,344,324,339,403,207,281,78,41,102,35,42
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",25,394,286,680,803,236,529,88,194,545,135,0
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",36,16,30,141,67,61,89,44,14,42,17,6
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",20,61,125,363,372,178,670,198,178,182,119,36
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",0,84,80,269,399,183,498,108,195,129,86,0
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",0,18,172,289,562,396,647,162,281,131,107,31
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",10,92,115,717,713,190,467,148,129,269,66,16
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",0,159,182,196,220,235,553,118,172,285,213,0
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",59,86,226,592,386,174,499,181,270,140,112,56
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",10,48,236,323,378,107,225,82,63,233,34,9
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",60,343,223,324,435,119,475,49,77,202,71,43
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",0,54,84,204,227,143,165,35,62,86,13,16
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",39,167,183,248,395,307,861,386,403,519,131,45
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",49,79,201,193,220,181,254,134,147,465,146,32
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",17,52,94,233,223,375,549,271,105,373,71,49
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",33,83,191,241,380,293,883,233,228,353,139,0
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",102,13,88,132,478,168,710,192,144,327,254,15
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",129,110,237,527,885,804,948,325,359,288,327,49
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",21,27,25,93,178,206,249,226,130,311,80,6
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",19,74,51,152,160,127,316,163,108,181,35,20
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",16,111,177,128,262,232,564,157,211,354,92,13
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",1,62,66,195,310,211,355,210,217,380,166,46
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",8,30,44,83,281,119,455,146,223,154,197,8
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",0,39,78,105,304,231,418,66,197,359,164,79
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",108,108,59,166,270,89,477,241,312,341,77,37
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",0,31,37,193,148,119,323,62,205,459,185,58
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",26,21,23,34,112,76,306,58,128,287,67,59
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",8,17,88,156,231,83,284,96,131,194,74,18
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",7,16,211,133,422,143,502,119,127,243,138,68
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",74,0,89,162,553,116,641,31,60,543,193,68
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",0,43,120,306,336,301,690,106,202,334,258,32
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",0,10,52,136,375,57,267,86,103,155,139,11
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",0,45,97,78,238,59,355,68,245,180,241,11
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",0,19,75,152,255,101,672,96,83,306,93,29
1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",0,23,50,49,40,32,143,50,43,132,115,19
1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",7,50,140,223,318,381,484,173,101,372,142,21
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",41,6,47,42,165,150,355,198,251,248,91,61
1400000US11001002502,11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",0,39,245,682,612,283,552,62,487,525,179,113
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",0,25,50,137,186,69,265,67,78,153,157,44
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",50,17,116,257,446,230,798,316,348,495,215,0
1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",36,22,167,420,911,204,902,296,445,225,128,30
1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",0,35,142,96,434,174,642,186,136,355,263,22
1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",19,71,196,219,452,221,647,107,156,570,158,56
1400000US11001002900,11001002900,"Census Tract 29, District of Columbia, District of Columbia",65,41,95,215,394,307,783,282,179,503,157,53
1400000US11001003000,11001003e3,"Census Tract 30, District of Columbia, District of Columbia",0,70,42,139,276,111,603,145,113,389,100,30
1400000US11001003100,11001003100,"Census Tract 31, District of Columbia, District of Columbia",9,106,45,136,271,127,397,169,140,228,223,75
1400000US11001003200,11001003200,"Census Tract 32, District of Columbia, District of Columbia",8,111,194,146,198,297,680,157,199,353,337,49
1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",0,7,239,457,407,184,514,68,211,393,161,41
1400000US11001003302,11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",0,29,139,148,216,132,341,93,64,150,123,33
1400000US11001003400,11001003400,"Census Tract 34, District of Columbia, District of Columbia",19,69,123,285,132,125,555,50,78,252,154,0
