Geo_id,Geo_id2,Geo_display_label,I_T_WH,I_P_WH,I_T_AA,I_P_AA,I_T_AI,I_P_AI,I_T_AS,I_P_AS,I_T_PI,I_P_PI,I_T_OT,I_P_OT,I_T_HL,I_P_HL
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",4768,92.2,69,1.3,0,0,383,7.4,0,0,53,1,625,12.1
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",2801,76.1,324,8.8,7,0.2,613,16.6,0,0,95,2.6,436,11.8
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",3801,85,398,8.9,0,0,311,7,9,0.2,101,2.3,363,8.1
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",5332,83.7,499,7.8,0,0,625,9.8,0,0,82,1.3,295,4.6
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",1251,84,92,6.2,0,0,178,12,13,0.9,30,2,264,17.7
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",3141,86.5,192,5.3,0,0,226,6.2,0,0,187,5.1,511,14.1
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",2950,89.5,149,4.5,20,0.6,194,5.9,27,0.8,60,1.8,491,14.9
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",4186,83.8,459,9.2,27,0.5,361,7.2,0,0,138,2.8,776,15.5
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",4554,80.7,545,9.7,115,2,522,9.3,0,0,168,3,229,4.1
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",2648,79.8,204,6.1,52,1.6,381,11.5,15,0.5,159,4.8,366,11
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",5363,85.6,463,7.4,41,0.7,550,8.8,13,0.2,188,3,607,9.7
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",2797,80.5,324,9.3,13,0.4,426,12.3,11,0.3,58,1.7,563,16.2
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",6506,83.4,647,8.3,83,1.1,636,8.2,8,0.1,221,2.8,1138,14.6
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",2473,95.7,87,3.4,7,0.3,131,5.1,0,0,8,0.3,332,12.8
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",6877,87.6,478,6.1,68,0.9,844,10.7,0,0,71,0.9,763,9.7
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",3007,85.6,189,5.4,64,1.8,437,12.4,0,0,116,3.3,513,14.6
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",4260,86.1,416,8.4,40,0.8,326,6.6,0,0,54,1.1,454,9.2
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",4318,85.8,440,8.7,16,0.3,449,8.9,0,0,34,0.7,440,8.7
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",3328,80.2,474,11.4,0,0,378,9.1,0,0,0,0,399,9.6
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",5608,74.2,932,12.3,166,2.2,816,10.8,0,0,552,7.3,963,12.7
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",2693,80.8,348,10.4,31,0.9,320,9.6,0,0,42,1.3,321,9.6
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",2734,81,417,12.4,28,0.8,240,7.1,0,0,117,3.5,599,17.7
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",5473,90.1,570,9.4,0,0,219,3.6,0,0,64,1.1,463,7.6
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",1443,30.7,3164,67.3,43,0.9,113,2.4,0,0,70,1.5,326,6.9
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",1445,44.9,1540,47.9,73,2.3,48,1.5,12,0.4,215,6.7,438,13.6
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",526,12.6,2717,65.1,67,1.6,50,1.2,24,0.6,962,23,1239,29.7
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",573,10.1,3834,67.6,0,0,139,2.5,0,0,1136,20,1647,29.1
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",902,22.2,2721,66.9,57,1.4,224,5.5,0,0,264,6.5,470,11.6
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",615,24.7,1787,71.7,32,1.3,39,1.6,0,0,134,5.4,452,18.1
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",866,27.5,1435,45.6,77,2.4,106,3.4,0,0,726,23,910,28.9
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",1168,27.8,2380,56.6,7,0.2,129,3.1,0,0,621,14.8,894,21.3
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",570,11.8,3433,71.2,44,0.9,215,4.5,0,0,707,14.7,950,19.7
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",720,13.7,3882,73.7,123,2.3,58,1.1,13,0.2,582,11.1,807,15.3
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",646,21.9,2047,69.3,36,1.2,66,2.2,0,0,225,7.6,330,11.2
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",437,13.1,2186,65.3,35,1,63,1.9,0,0,729,21.8,859,25.7
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",1085,29.9,2083,57.5,92,2.5,114,3.1,12,0.3,474,13.1,616,17
1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",763,44.7,820,48,4,0.2,78,4.6,6,0.4,110,6.4,73,4.3
1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",1599,39.3,2035,50,22,0.5,144,3.5,17,0.4,361,8.9,728,17.9
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",1032,32.9,1512,48.2,17,0.5,108,3.4,0,0,638,20.3,884,28.2
1400000US11001002502,11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",1863,29.2,3019,47.3,52,0.8,335,5.2,0,0,1417,22.2,2245,35.1
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",1398,55.5,899,35.7,25,1,207,8.2,16,0.6,80,3.2,199,7.9
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",3802,61.6,1284,20.8,135,2.2,300,4.9,50,0.8,1014,16.4,1846,29.9
1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",4850,76.9,1019,16.2,177,2.8,212,3.4,0,0,650,10.3,1571,24.9
1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",1555,37.3,1645,39.5,24,0.6,140,3.4,0,0,912,21.9,1336,32
1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",2041,43.9,1129,24.3,4,0.1,357,7.7,21,0.5,1186,25.5,1989,42.8
1400000US11001002900,11001002900,"Census Tract 29, District of Columbia, District of Columbia",2213,49.6,1332,29.8,119,2.7,226,5.1,0,0,938,21,1323,29.6
1400000US11001003000,11001003e3,"Census Tract 30, District of Columbia, District of Columbia",1646,50.2,1338,40.8,7,0.2,126,3.8,0,0,222,6.8,538,16.4
1400000US11001003100,11001003100,"Census Tract 31, District of Columbia, District of Columbia",1278,38.9,1029,31.4,32,1,266,8.1,0,0,770,23.5,1097,33.4
1400000US11001003200,11001003200,"Census Tract 32, District of Columbia, District of Columbia",1490,30.9,2272,47.1,12,0.2,251,5.2,0,0,836,17.3,1156,24
1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",2010,49.4,1914,47.1,94,2.3,238,5.9,0,0,63,1.5,252,6.2
