Geo_id,Geo_id2,Geo_display_label,HH_T_10k,HH_T_1014k,HH_T_1524k,HH_T_2534k,HH_T_3549k,HH_T_5074k,HH_T_7599k,HH_T_100k,HH_T_150k,HH_T_200k
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",2.8,0.6,4.2,1,2.6,7.5,6.6,18,14.4,42.3
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",6.8,0.6,2.2,3,4.7,11.6,1.9,17.3,14.4,37.6
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",7.2,2.3,1.2,4.1,2.3,9.5,10.6,16.9,11.3,34.6
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",6.6,1.2,2.5,3,7.1,11.7,8.3,11.7,9.4,38.5
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",6.4,2.9,0.9,1.3,3.4,15.8,10.7,22.4,12.8,23.4
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",2.6,2,1.4,4.9,2.4,9.6,11.8,24.9,9.4,30.9
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",3.2,2.8,1.4,0,2.2,8.4,3.6,13.7,9.4,55.2
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",6.2,3.9,3.1,8.1,7,15.1,12.4,18.5,8.8,16.9
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",2.1,8.5,3.8,4,6,30.5,15,19.3,7.3,3.5
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",5,1,5.6,2.5,5.9,4.2,15,11.2,12.6,37
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",11,3.8,0.3,4.1,4.2,15.1,11.8,9.2,9.2,31.4
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",0.8,1.3,1.2,0.9,5.2,5.6,5.9,12.9,7.7,58.4
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",0.7,0,0.4,2.2,6,5.2,5.7,16.7,11.8,51.2
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",0.3,2.2,1.1,3,7.4,4.9,7.8,15.6,22.1,35.6
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",14,3.1,6.7,4.8,9.9,5.5,6.5,15.7,21,12.9
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",5.1,0.3,2.5,1.4,6,8.4,11.1,13.9,10.9,40.4
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",2.6,0,7.8,3.3,4.3,7.9,17.4,15.3,13.5,27.9
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",1.2,0,2.3,3.5,5.5,8.6,11.4,31.7,8.9,26.9
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",4.9,3.8,3.1,3.7,4.8,13.2,10.4,24.8,10.5,21
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",5.5,0,5.1,2.1,5,15.2,9.8,12.4,6.3,38.5
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",6.3,2.4,4.9,3.8,7,7.8,11.5,13.9,11.9,30.4
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",1.6,0,0.6,3.1,3.7,6.5,7.4,14.6,12.1,50.4
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",0.5,2.2,0,3,5.2,6.4,4.6,20.2,17.6,40.3
