Geo_id,Geo_id2,Geo_display_label,I_T_OE,I_T_SS,I_T_SS_E,I_T_SS_nE,I_T_OL,I_T_OL_E,I_T_OL_nE,I_T_FB
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",3564,456,290,166,886,715,171,1199
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",2481,353,330,23,848,827,21,581
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",3242,266,217,49,843,767,76,950
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",4779,290,235,55,867,669,198,1043
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",975,193,165,28,228,143,85,342
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",2534,475,456,19,484,457,27,521
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",2548,420,280,140,211,180,31,463
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",3891,464,371,93,369,344,25,676
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",4268,184,183,1,951,737,214,1269
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",2083,270,270,0,821,529,292,981
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",4402,460,418,42,1144,1026,118,1439
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",2329,381,288,93,570,451,119,612
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",5098,1145,977,168,1325,1069,256,1592
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",1971,274,204,70,268,211,57,521
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",5466,528,423,105,1316,1162,154,1489
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",2528,259,151,108,588,494,94,643
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",3791,185,171,14,508,403,105,607
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",3618,371,318,53,730,634,96,981
