Geo_id,Geo_id2,Geo_display_label,I_T_wa,I_R_lfpart,I_O_ratio,I_R_unemp
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",4431,75.4,71.6,5.1
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",3682,39.3,36,6.4
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",4130,64.1,62.2,3.1
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",5557,79.4,77.1,2.9
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",1231,61.7,60.8,0.7
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",3181,83.4,81.9,1.8
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",2895,81.7,79.6,2.6
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",4189,72.5,71.2,1.4
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",5236,62.7,62.1,0.9
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",3098,86.8,81.9,5.7
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",5414,63.5,56.8,10.5
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",2866,71.9,70.4,2.1
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",6738,51,45.8,9.9
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",1876,70,68.6,2.1
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",6064,67.2,65.6,2
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",3139,77,69.7,9.5
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",4074,71.1,69.4,2.5
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",4167,81.7,80,2.1
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",3521,80.8,77.5,3.3
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",7011,80.2,77.9,2.9
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",2572,73.3,69.1,5.8
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",2679,65.7,63.4,3.5
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",4542,60.9,57.7,5.2
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",3739,66.8,63.1,5.1
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",2758,77,73.1,5.1
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",3121,75,71.4,4.6
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",4335,58.8,54.6,7.1
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",3267,67,61.3,8.5
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",2174,64.4,59,8.4
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",2509,64.3,60.5,5.6
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",3341,74.8,69.3,6.8
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",4151,69.3,64.3,7.2
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",4489,69.9,63.5,9.2
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",2583,64,57.6,10
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",2642,72.3,64.9,10.2
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",2956,72.3,67.2,7
1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",1599,49.9,47.3,5.1
1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",3580,73.9,68.6,6.7
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",2588,72.6,69.3,3.7
1400000US11001002502,11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",5457,74.1,71.3,3.7
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",2119,69.8,66.5,4.6
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",4979,78,75.4,3.4
